frame,timestamp,shot_type,direction
6,0.24,Smash,Left
9,0.36,Backhand,Left
18,0.72,Smash,Left
21,0.84,Forehand,Left
24,0.96,Forehand,Left
27,1.08,Forehand,Straight
27,1.08,Bounce,Straight
30,1.2,Smash,Left
36,1.44,Forehand,Left
39,1.56,Forehand,Left
42,1.68,Forehand,Left
45,1.8,Forehand,Left
48,1.92,Forehand,Left
51,2.04,Forehand,Left
54,2.16,Forehand,Left
57,2.28,Forehand,Straight
57,2.28,Bounce,Straight
60,2.4,Forehand,Straight
69,2.76,Forehand,Straight
72,2.88,Forehand,Straight
75,3.0,Forehand,Left
78,3.12,Forehand,Left
78,3.12,Bounce,Left
81,3.24,Backhand,Left
84,3.36,Forehand,Left
87,3.48,Forehand,Left
90,3.6,Forehand,Left
108,4.32,Forehand,Left
111,4.44,Forehand,Left
114,4.56,Forehand,Left
117,4.68,Forehand,Left
120,4.8,Forehand,Left
123,4.92,Forehand,Left
126,5.04,Forehand,Right
126,5.04,Bounce,Right
129,5.16,Forehand,Left
132,5.28,Forehand,Right
135,5.4,Forehand,Right
138,5.52,Forehand,Right
141,5.64,Forehand,Right
144,5.76,Forehand,Right
147,5.88,Backhand,Right
150,6.0,Forehand,Left
153,6.12,Forehand,Left
156,6.24,Forehand,Left
156,6.24,Bounce,Left
159,6.36,Forehand,Left
162,6.48,Forehand,Left
165,6.6,Forehand,Left
168,6.72,Forehand,Right
171,6.84,Forehand,Right
174,6.96,Smash,Right
177,7.08,Forehand,Right
177,7.08,Bounce,Right
180,7.2,Forehand,Right
183,7.32,Forehand,Right
189,7.56,Forehand,Right
192,7.68,Forehand,Right
195,7.8,Forehand,Right
198,7.92,Forehand,Right
201,8.04,Forehand,Right
204,8.16,Forehand,Right
207,8.28,Forehand,Right
213,8.52,Forehand,Right
216,8.64,Forehand,Right
219,8.76,Forehand,Right
222,8.88,Forehand,Right
222,8.88,Bounce,Right
225,9.0,Smash,Right
231,9.24,Forehand,Left
234,9.36,Forehand,Right
234,9.36,Bounce,Right
240,9.6,Forehand,Right
243,9.72,Forehand,Right
243,9.72,Bounce,Right
246,9.84,Forehand,Right
258,10.32,Forehand,Right
261,10.44,Forehand,Right
264,10.56,Forehand,Left
267,10.68,Forehand,Left
270,10.8,Forehand,Straight
273,10.92,Forehand,Straight
276,11.04,Forehand,Left
282,11.28,Forehand,Straight
285,11.4,Forehand,Straight
300,12.0,Forehand,Straight
327,13.08,Forehand,Left
345,13.8,Forehand,Left
351,14.04,Smash,Left
354,14.16,Smash,Left
354,14.16,Bounce,Left
357,14.28,Smash,Left
360,14.4,Smash,Left
360,14.4,Bounce,Left
363,14.52,Smash,Left
366,14.64,Smash,Left
369,14.76,Forehand,Left
372,14.88,Forehand,Left
375,15.0,Forehand,Left
375,15.0,Bounce,Left
378,15.12,Forehand,Left
381,15.24,Forehand,Left
384,15.36,Forehand,Left
387,15.48,Forehand,Straight
387,15.48,Bounce,Straight
390,15.6,Forehand,Left
393,15.72,Forehand,Straight
393,15.72,Bounce,Straight
396,15.84,Backhand,Left
399,15.96,Backhand,Left
402,16.08,Backhand,Left
405,16.2,Backhand,Left
411,16.44,Forehand,Straight
411,16.44,Bounce,Straight
414,16.56,Forehand,Left
423,16.92,Forehand,Right
423,16.92,Bounce,Right
426,17.04,Forehand,Right
429,17.16,Forehand,Left
432,17.28,Forehand,Left
432,17.28,Bounce,Left
435,17.4,Forehand,Left
438,17.52,Forehand,Left
441,17.64,Forehand,Left
444,17.76,Forehand,Left
447,17.88,Backhand,Left
450,18.0,Forehand,Right
453,18.12,Forehand,Right
456,18.24,Forehand,Right
459,18.36,Forehand,Right
462,18.48,Forehand,Right
465,18.6,Forehand,Left
468,18.72,Forehand,Left
468,18.72,Bounce,Left
471,18.84,Forehand,Left
474,18.96,Backhand,Left
477,19.08,Backhand,Left
480,19.2,Forehand,Left
480,19.2,Bounce,Left
483,19.32,Forehand,Right
486,19.44,Backhand,Right
489,19.56,Backhand,Right
492,19.68,Backhand,Right
495,19.8,Forehand,Right
498,19.92,Backhand,Straight
501,20.04,Forehand,Right
504,20.16,Forehand,Right
507,20.28,Backhand,Right
507,20.28,Bounce,Right
510,20.4,Forehand,Straight
513,20.52,Forehand,Straight
516,20.64,Forehand,Right
519,20.76,Forehand,Right
522,20.88,Forehand,Right
525,21.0,Forehand,Right
528,21.12,Forehand,Right
531,21.24,Forehand,Right
534,21.36,Smash,Right
537,21.48,Forehand,Right
540,21.6,Forehand,Right
543,21.72,Smash,Right
546,21.84,Forehand,Left
549,21.96,Forehand,Left
552,22.08,Forehand,Left
555,22.2,Forehand,Right
555,22.2,Bounce,Right
573,22.92,Backhand,Right
576,23.04,Forehand,Left
579,23.16,Forehand,Left
582,23.28,Forehand,Left
585,23.4,Forehand,Straight
588,23.52,Forehand,Left
591,23.64,Forehand,Straight
591,23.64,Bounce,Straight
594,23.76,Forehand,Straight
615,24.6,Forehand,Straight
618,24.72,Forehand,Straight
621,24.84,Forehand,Right
624,24.96,Forehand,Right
639,25.56,Forehand,Right
642,25.68,Forehand,Right
645,25.8,Forehand,Right
648,25.92,Backhand,Right
651,26.04,Smash,Left
651,26.04,Bounce,Left
666,26.64,Smash,Left
669,26.76,Smash,Left
672,26.88,Smash,Left
675,27.0,Smash,Left
678,27.12,Smash,Left
681,27.24,Smash,Left
684,27.36,Smash,Right
684,27.36,Bounce,Right
687,27.48,Forehand,Right
693,27.72,Forehand,Right
699,27.96,Forehand,Right
705,28.2,Forehand,Straight
708,28.32,Backhand,Straight
711,28.44,Backhand,Straight
723,28.92,Smash,Right
726,29.04,Smash,Right
729,29.16,Forehand,Right
732,29.28,Smash,Right
732,29.28,Bounce,Right
735,29.4,Smash,Right
738,29.52,Smash,Right
741,29.64,Smash,Right
744,29.76,Smash,Right
747,29.88,Smash,Straight
747,29.88,Bounce,Straight
750,30.0,Smash,Right
753,30.12,Forehand,Straight
756,30.24,Forehand,Right
756,30.24,Bounce,Right
759,30.36,Smash,Straight
771,30.84,Forehand,Straight
774,30.96,Forehand,Straight
777,31.08,Forehand,Straight
780,31.2,Forehand,Right
783,31.32,Forehand,Straight
786,31.44,Forehand,Left
789,31.56,Smash,Straight
789,31.56,Bounce,Straight
792,31.68,Forehand,Left
795,31.8,Forehand,Left
795,31.8,Bounce,Left
798,31.92,Forehand,Left
798,31.92,Bounce,Left
801,32.04,Forehand,Left
804,32.16,Forehand,Left
807,32.28,Smash,Left
810,32.4,Smash,Left
810,32.4,Bounce,Left
813,32.52,Smash,Left
816,32.64,Smash,Straight
816,32.64,Bounce,Straight
831,33.24,Forehand,Left
837,33.48,Forehand,Straight
840,33.6,Forehand,Left
843,33.72,Forehand,Straight
846,33.84,Forehand,Left
